3400	4E18	14
3400	5775	8
3402	559C	2
3404	4E95	4
3404	725B	4
3405	4E94	14
340C	8272	4
3416	4E71	4
341C	4EC7	4
3421	61E6	14
3427	7B2C	12
3428	4E88	4
3428	6292	4
3429	4E95	4
342A	4EA5	12
342A	5B9B	4
342B	51F6	14
342D	5EE9	14
342F	5EB8	12
3430	4FE1	14
3430	500B	8
3431	5C12	8
3431	5C13	12
3431	723E	12
3432	4F0F	6
3433	5140	14
3434	6500	14
3436	5315	4
3436	5316	12
3438	6B20	14
3438	7F3A	8
3439	4EE1	14
343A	4E51	14
343A	8846	8
343C	62EF	4
3441	62D9	4
3442	4EFF	12
3443	62D7	4
3444	4FAE	14
3445	4F5C	14
3446	6033	4
3449	5919	4
344A	4EA6	4
344B	4F37	4
344C	5C29	14
344C	5C2B	8
344D	8012	4
344E	5F91	4
3452	50C9	14
3453	4FCA	14
3457	8EAB	4
3458	4EF7	14
345A	90A3	14
345B	609A	4
345C	6298	4
345E	5AB5	4
345F	5175	4
3464	82D7	4
3466	623B	4
3466	623E	4
3467	60B8	12
3468	4FE3	2
346E	60F2	4
346F	9802	4
3471	63C9	4
3474	4FB5	14
3475	5AC9	14
3476	613E	6
3477	614B	14
3478	501A	4
3479	4F1A	14
3479	6703	14
347B	6A12	4
347C	7565	4
347E	509C	14
347F	5DE2	4
3480	6458	4
3482	8457	4
3483	5F10	6
3483	8CB3	14
3484	649A	4
3486	7FD5	14
3487	61AE	14
3488	6A44	4
3489	60DD	14
348A	6F80	4
348B	53AE	14
348B	5EDD	10
348C	3DC0	10
348C	7162	14
348D	50AA	4
348E	50D1	4
3491	532F	4
3492	50D5	2
3493	9054	4
3495	64C1	4
3496	85D5	14
349A	7A4F	4
349A	7A69	4
349B	64E2	4
349C	8207	4
349D	5E6D	4
349E	4FCA	2
349E	5101	14
349F	88CA	4
34A0	7023	4
34A1	7E47	4
34A4	6174	4
34A4	61FE	4
34A5	7043	4
34A6	5121	4
34A7	5137	14
34A8	4ED9	12
34A8	50CA	8
34A8	50F2	8
34A9	68B4	4
34A9	88F8	4
34AA	932B	14
34AB	65E1	12
34AD	6606	14
34AF	66C4	8
34AF	71C1	14
34B0	5168	14
34B2	8CA1	14
34B3	4E21	14
34B3	5169	14
34B4	4EDA	4
34B5	7683	2
34B5	8C8C	2
34B6	516C	14
34B8	6B73	4
34B8	9042	4
34B9	985A	14
34B9	985B	8
34BA	7F54	12
34BB	5192	4
34BD	7B9E	4
34BE	8479	4
34BF	7C6C	4
34C2	5BC7	14
34C3	8A6B	4
34C4	6BFF	4
34C5	6C40	4
34C9	6D3B	4
34CA	6D1E	4
34CB	6D2A	4
34CC	6D24	4
34CE	6D78	4
34CF	6D1E	4
34D0	6DD5	4
